Time,Depth
2019-03-03 14:43:27,5.646
2019-03-03 14:45:27,9.336
2019-03-03 14:45:29,9.315
2019-03-03 14:45:29,9.33
2019-03-03 14:48:12,9.786
2019-03-03 14:48:18,9.741
2019-03-03 14:49:04,12.489
2019-03-03 14:49:08,12.615
2019-03-03 14:49:32,10.17
2019-03-03 14:49:35,10.263
2019-03-03 14:49:38,10.245000000000001
2019-03-03 14:49:38,10.245000000000001
2019-03-03 14:49:46,6.198
2019-03-03 14:49:46,10.269
2019-03-03 14:49:46,6.186
2019-03-03 14:49:47,6.156
2019-03-03 14:49:48,6.132000000000001
2019-03-03 14:49:49,6.1080000000000005
2019-03-03 14:49:49,6.081
2019-03-03 14:49:50,6.0600000000000005
2019-03-03 14:49:51,6.057
2019-03-03 14:49:52,6.057
2019-03-03 14:49:53,6.039
2019-03-03 14:51:26,1.059
2019-03-03 14:51:39,10.233
2019-03-03 14:51:40,8.412
2019-03-03 14:51:41,8.391
2019-03-03 14:52:18,10.668000000000001
2019-03-03 14:52:29,1.02
2019-03-03 14:52:29,1.02
2019-03-03 14:52:30,1.0170000000000001
2019-03-03 14:52:31,1.0230000000000001
2019-03-03 14:52:34,1.0230000000000001
2019-03-03 14:52:35,1.014
2019-03-03 14:52:36,1.002
2019-03-03 14:53:08,1.044
2019-03-03 14:53:09,1.035
2019-03-03 14:53:41,1.035
2019-03-03 14:53:42,1.044
2019-03-03 14:53:43,1.032
2019-03-03 14:59:45,11.055
2019-03-03 14:59:46,11.205
2019-03-03 14:59:47,11.265
2019-03-03 14:59:49,11.061
2019-03-03 14:59:50,11.325000000000001
2019-03-03 14:59:51,11.4
2019-03-03 14:59:52,11.436
2019-03-03 14:59:53,11.502
2019-03-03 14:59:55,11.592
2019-03-03 14:59:57,11.583
2019-03-03 14:59:57,11.682
2019-03-03 15:00:55,11.394
2019-03-03 15:00:56,11.352
2019-03-03 15:00:57,11.289
2019-03-03 15:00:58,11.34
2019-03-03 15:00:59,11.409
2019-03-03 15:01:00,11.376
2019-03-03 15:01:01,11.328
2019-03-03 15:01:01,11.373000000000001
2019-03-03 15:01:02,11.442
2019-03-03 15:01:03,11.436
2019-03-03 15:01:04,11.412
2019-03-03 15:01:05,11.43
2019-03-03 15:01:05,11.409
2019-03-03 15:01:46,10.488
2019-03-03 15:01:47,10.44
2019-03-03 15:01:48,10.38
2019-03-03 15:01:49,10.374
2019-03-03 15:01:49,10.434000000000001
2019-03-03 15:01:50,10.503
2019-03-03 15:01:51,10.509
2019-03-03 15:01:52,10.476
2019-03-03 15:01:53,10.473
2019-03-03 15:01:53,10.464
2019-03-03 15:01:54,10.425
2019-03-03 15:01:56,10.389
2019-03-03 15:01:57,10.359
2019-03-03 15:01:57,10.389
2019-03-03 15:01:58,10.455
2019-03-03 15:01:59,10.464
2019-03-03 15:02:09,12.477
2019-03-03 15:02:09,12.519
2019-03-03 15:02:10,12.501
2019-03-03 15:02:11,12.465
2019-03-03 15:02:12,12.450000000000001
2019-03-03 15:02:14,12.339
2019-03-03 15:02:14,12.384
2019-03-03 15:14:40,12.216000000000001
2019-03-03 15:15:06,5.022
2019-03-03 15:15:07,5.007
2019-03-03 15:15:08,4.977
2019-03-03 15:15:09,4.9350000000000005
2019-03-03 15:15:09,4.9110000000000005
2019-03-03 15:15:10,4.914
2019-03-03 15:15:11,4.914
2019-03-03 15:15:12,4.896
2019-03-03 15:18:43,11.037
2019-03-03 15:20:27,6.609
2019-03-03 15:20:28,6.6000000000000005
2019-03-03 15:20:29,6.57
2019-03-03 15:20:29,6.525
2019-03-03 15:20:30,6.498
2019-03-03 15:20:31,6.471
2019-03-03 15:20:32,6.4350000000000005
2019-03-03 15:20:33,6.396
2019-03-03 15:22:09,0.615
2019-03-03 15:24:14,6.657
2019-03-03 15:25:26,1.065
2019-03-03 15:25:27,1.041
2019-03-03 15:25:28,1.029
2019-03-03 15:25:29,1.0110000000000001
2019-03-03 15:25:29,0.996
2019-03-03 15:25:30,0.96
2019-03-03 15:25:35,0.882
2019-03-03 15:25:39,0.921
2019-03-03 15:25:41,0.9420000000000001
2019-03-03 15:26:05,0.858
2019-03-03 15:26:06,0.867
2019-03-03 15:26:07,0.873
2019-03-03 15:26:08,0.873
2019-03-03 15:26:09,0.873
2019-03-03 15:26:09,0.867
2019-03-03 15:27:15,0.606
2019-03-03 15:33:47,8.097
2019-03-03 15:35:01,10.581
2019-03-03 15:41:33,10.944
2019-03-03 15:41:37,11.037
2019-03-03 15:41:37,11.058
2019-03-03 15:41:38,11.001
2019-03-03 15:41:39,10.938
2019-03-03 15:41:40,10.977
2019-03-03 15:41:41,11.01
2019-03-03 15:41:41,10.98
2019-03-03 15:41:42,10.947000000000001
2019-03-03 15:41:43,10.995000000000001
2019-03-03 15:41:46,11.046
2019-03-03 15:41:47,11.121
2019-03-03 15:41:48,11.103
2019-03-03 15:41:49,11.058
2019-03-03 15:41:49,11.073
2019-03-03 15:41:50,11.109
2019-03-03 15:41:51,11.127
2019-03-03 15:41:52,11.148
2019-03-03 15:43:31,12.099
2019-03-03 15:44:48,9.411
2019-03-03 15:44:49,9.426
2019-03-03 15:44:49,9.456
2019-03-03 15:45:27,10.752
2019-03-03 15:45:28,10.749
2019-03-03 15:45:29,10.674
2019-03-03 15:45:29,10.695
2019-03-03 15:45:30,10.788
2019-03-03 15:45:31,10.824
2019-03-03 15:45:32,10.803
2019-03-03 15:45:33,10.764
2019-03-03 15:45:33,10.752
2019-03-03 15:45:34,10.767
2019-03-03 15:45:35,10.773
2019-03-03 15:45:36,10.788
2019-03-03 15:45:37,10.818
2019-03-03 15:45:37,10.815
2019-03-03 15:45:38,10.809000000000001
2019-03-03 15:45:39,10.866
2019-03-03 15:45:40,10.905
2019-03-03 15:45:41,10.824
2019-03-03 15:45:41,10.764
2019-03-03 15:46:53,5.577
2019-03-03 15:46:54,5.541
2019-03-03 15:46:55,5.505
2019-03-03 15:46:56,5.472
2019-03-03 15:46:57,5.454
2019-03-03 15:46:57,5.439
2019-03-03 15:46:59,11.271
2019-03-03 15:47:00,11.283
2019-03-03 15:47:01,11.334
2019-03-03 15:48:51,0.657
2019-03-03 15:49:11,0.6960000000000001
2019-03-03 15:52:27,10.443
2019-03-03 15:53:47,11.352
2019-03-03 15:53:48,11.322000000000001
2019-03-03 15:53:49,11.295
2019-03-03 15:53:49,11.364
2019-03-03 15:53:50,11.436
2019-03-03 15:53:51,11.403
2019-03-03 15:53:52,11.373000000000001
2019-03-03 15:53:53,11.355
2019-03-03 15:53:53,11.352
2019-03-03 15:53:54,11.349
2019-03-03 15:53:55,11.361
2019-03-03 15:53:56,11.412
2019-03-03 15:53:57,11.424
2019-03-03 15:53:57,11.385
2019-03-03 15:53:58,11.388
2019-03-03 15:53:59,11.43
2019-03-03 15:54:00,11.424
2019-03-03 15:54:01,11.409
2019-03-03 15:54:22,0.891
2019-03-03 15:54:22,0.882
2019-03-03 15:54:26,0.783
2019-03-03 15:54:27,0.768
2019-03-03 15:54:28,0.756
2019-03-03 15:54:31,11.76
2019-03-03 15:54:31,11.814
2019-03-03 15:54:32,11.856
2019-03-03 15:54:33,12.165000000000001
2019-03-03 15:54:33,0.753
2019-03-03 15:54:33,11.757
2019-03-03 15:54:33,12.093
2019-03-03 15:54:34,11.769
2019-03-03 15:54:35,11.841000000000001
